


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
8/2/2025,5:38:52 PM,,67,53,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:38:56 PM,,68,37,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:00 PM,,69,53,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:01 PM,,70,60,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:07 PM,,71,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:09 PM,,72,50,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:14 PM,,73,53,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:18 PM,,74,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:18 PM,,75,68,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:23 PM,,76,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:26 PM,,77,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:28 PM,,78,47,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:36 PM,,79,38,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:39:40 PM,,80,66,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:07 PM,,81,56,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:14 PM,,82,60,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:25 PM,,83,35,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:29 PM,,84,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:32 PM,,85,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:37 PM,,86,49,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:40 PM,,87,30,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:43 PM,,88,50,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:47 PM,,89,58,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:56 PM,,90,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:40:58 PM,,91,54,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:01 PM,,92,43,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:04 PM,,93,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:13 PM,,94,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:19 PM,,95,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:21 PM,,96,43,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:30 PM,,97,43,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:33 PM,,98,39,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:37 PM,,99,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:39 PM,,100,40,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:46 PM,,101,51,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:41:56 PM,,102,28,MPH,,,,Temp Temp,Football,In-game speed,NO
