

	
Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
8/2/2025,18:17:53,,67,30,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:17:57,,68,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:17:58,,69,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:18:00,,70,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:18:32,,71,40,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:19:56,,72,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:19:59,,73,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:20:56,,74,30,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:21:29,,75,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:21:36,,76,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:22:37,,77,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:23:22,,78,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:25:25,,79,35,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:26:36,,80,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:33:04,,81,48,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:33:10,,82,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:33:14,,83,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:33:14,,84,53,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:33:55,,85,61,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:34:14,,86,55,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:35:05,,87,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:35:06,,88,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:36:05,,89,47,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:36:12,,90,42,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:37:18,,91,52,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:39:12,,92,31,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:39:21,,93,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:40:11,,94,91,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:41:39,,95,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:44:16,,96,50,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:44:24,,97,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:44:34,,98,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:44:35,,99,30,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:44:38,,100,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:45:01,,101,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:45:02,,102,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:45:13,,103,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:45:37,,104,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:45:37,,105,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:46:20,,106,112,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:46:26,,107,112,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:46:30,,108,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:46:33,,109,29,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:50:53,,110,52,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:51:49,,111,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:51:51,,112,31,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:51:53,,113,57,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
