0902 Jockey Club


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
9/2/2025,3:49:38 PM,0902 Jockey Club,56,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:49:39 PM,0902 Jockey Club,57,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:49:49 PM,0902 Jockey Club,58,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:15 PM,0902 Jockey Club,59,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:20 PM,0902 Jockey Club,60,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:32 PM,0902 Jockey Club,61,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:34 PM,0902 Jockey Club,62,35,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:41 PM,0902 Jockey Club,63,35,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:52 PM,0902 Jockey Club,64,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:50:58 PM,0902 Jockey Club,65,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:51:08 PM,0902 Jockey Club,66,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:51:16 PM,0902 Jockey Club,67,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:51:41 PM,0902 Jockey Club,68,35,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:51:50 PM,0902 Jockey Club,69,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:51:55 PM,0902 Jockey Club,70,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:06 PM,0902 Jockey Club,71,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:16 PM,0902 Jockey Club,72,47,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:21 PM,0902 Jockey Club,73,45,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:28 PM,0902 Jockey Club,74,47,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:42 PM,0902 Jockey Club,75,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:52:49 PM,0902 Jockey Club,76,39,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:54:31 PM,0902 Jockey Club,77,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:54:56 PM,0902 Jockey Club,78,46,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:55:02 PM,0902 Jockey Club,79,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:55:11 PM,0902 Jockey Club,80,44,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:55:33 PM,0902 Jockey Club,81,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:55:54 PM,0902 Jockey Club,82,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:56:07 PM,0902 Jockey Club,83,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:56:17 PM,0902 Jockey Club,84,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:56:39 PM,0902 Jockey Club,85,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:56:48 PM,0902 Jockey Club,86,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:57:20 PM,0902 Jockey Club,87,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:57:29 PM,0902 Jockey Club,88,50,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:57:34 PM,0902 Jockey Club,89,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:57:38 PM,0902 Jockey Club,90,46,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:58:13 PM,0902 Jockey Club,91,49,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:58:22 PM,0902 Jockey Club,92,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:18 PM,0902 Jockey Club,93,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:18 PM,0902 Jockey Club,94,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:20 PM,0902 Jockey Club,95,62,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:33 PM,0902 Jockey Club,96,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:33 PM,0902 Jockey Club,97,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:35 PM,0902 Jockey Club,98,64,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:59:59 PM,0902 Jockey Club,99,55,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:14 PM,0902 Jockey Club,100,62,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:25 PM,0902 Jockey Club,101,60,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:33 PM,0902 Jockey Club,102,54,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:43 PM,0902 Jockey Club,103,63,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:52 PM,0902 Jockey Club,104,55,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:55 PM,0902 Jockey Club,105,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:00:58 PM,0902 Jockey Club,106,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:09 PM,0902 Jockey Club,107,61,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:14 PM,0902 Jockey Club,108,65,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:21 PM,0902 Jockey Club,109,59,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:24 PM,0902 Jockey Club,110,29,MPH,,,,Temp Temp,Football,In-game speed,NO
